"Customer Last Name","Họ khách hàng"
"Customer Middle Name","Tên đệm khách hàng"
"Customer Prefix","Chức danh khách hàng"
"Customer Suffix","Hậu tố khách hàng"
"Default Image","Hình ảnh mặc định"
Delete,Xóa
Deny,"Từ chối"
"Disable automatic group change based on VAT ID","Vô hiệu hóa thay đổi nhóm tự động dựa trên VAT ID"
"Discount Amount","Số tiền giảm giá"
"Discount Description","Mô tả giảm giá"
Discount,"Giảm giá"
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
"Edit attribute rules for %s Role","Chỉnh sửa các quy tắc thuộc tính vai trò %s"
Edit,"Chỉnh sửa"
"Edit Role","Chỉnh sửa vai trò"
"Edit %s ACL attribute rules","Chỉnh sửa các quy tắc thuộc tính ACL %s"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com"
Email,"Thư điện tử"
"Enable Qty Increments","Kích hoạt tính năng tăng số lượng"
Exclude,"Loại trừ"
"File Content","Nội dung tập tin"
"File MIME Type","Kiểu tập tin MIME"
"File Name","Tên tập tin"
"Final Price Without Tax","Giá cuối cùng trước thuế"
"Final Price With Tax","Giá cuối cùng bao gồm thuế"
"First Name",Tên
,"@FIXME: "
"Gift Message","Tin nhắn quà tặng"
"Grand Total to Be Charged","Tổng tiền được thay đổi"
"Grand Total","Tổng tiền"
Group,Nhóm
Guest,"Khách chưa đăng nhập"
"Has Custom Options","Có các tùy chọn tùy chỉnh"
ID,"@FIXME: ID"
"Inventory Data","Dữ liệu tồn kho"
"Invoiced Qty","Số lượng lập hóa đơn"
"Is Confirmed","Được xác nhận"
"Is Default Billing Address","Là địa chỉ thanh toán mặc định"
"Is Default Shipping Address","Là địa chỉ giao vận mặc định"
"Item ID","ID mặc hàng"
"Item Subtotal Including Tax","Tổng số phụ mặt hàng bao gồm thuế"
"Item Subtotal","Tổng số phụ mặt hàng"
Label,Nhãn
"Last Logged In","Lần đăng nhập cuối"
"Last Name",Họ
"Low Stock Date","Ngày còn ít hàng"
"Manage Stock","Quản lý kho hàng"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"New Role","Vai trò mới"
"Notify for Quantity Below","Thông báo số lượng dưới đây"
OAuth,"@FIXME: OAuth"
"Order Addresses","Các địa chỉ đặt hàng"
"Order Comments","Các ghi chú đặt hàng"
"Order Currency","Loại tiền đặt hàng"
"Order Date","Ngày đặt hàng"
Order,"Đơn hàng"
"Ordered Qty","Số lượng đặt hàng"
"Order ID","ID đơn hàng"
"Order ID (internal)","ID đơn hàng (nội bộ)"
"Order Item ID","ID mặt hàng được đặt hàng"
"Order Items","Các mặt hàng được đặt hàng"
Orders,"Các đơn hàng"
"Order Status","Trạng thái đơn hàng"
"Original Price","Giá gốc"
"Parent Order Item ID","ID mặt hàng được đặt hàng gốc"
"Payment Method","Phương thức thanh toán"
"Phone Number","Số điện thoại"
"Placed from IP","Được đặt từ IP"
"Please enter a valid number in ""max_sale_qty"" field","Xin nhập số hợp lệ trong trường ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Xin nhập số hợp lệ trong trường ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Xin nhập số hợp lệ trong trường ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Xin nhập số hợp lệ trong trường ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Xin chỉ sử dụng các số trong trường ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Xin chỉ sử dụng các số trong trường ""qty_increments"". Xin tránh sử dụng khoảng trống hoặc các ký tự khác như dấu chấm hoặc dấu phảy."
Position,"Vị trí"
Price,Giá
"Price Including Tax","Giá bao gồm thuế"
"Product and Custom Options Name","Sản phẩm và tên các tùy chọn tùy chỉnh"
"Product Category","Nhóm sản phẩm"
"Product ID","ID sản phẩm"
"Product Image","Hình ảnh sản phẩm"
Product,"Sản phẩm"
"Product Type","Loại sản phẩm"
"Product URL","URL sản phẩm"
"Product Website","Website sản phẩm"
"Qty for Item's Status to Become Out of Stock","Số lượng cho các mặt hàng để có trạng thái hết hàng"
"Qty Increments","Tính năng tăng số lượng"
Qty,"Số lượng"
"Qty Uses Decimals","Số lượng sử dụng các số thập phân"
Read,Đọc
"Refunded Qty","Số lượng tiền hoàn lại"
"Regular Price Without Tax","Giá thông thường trước thuế"
"Regular Price With Tax","Giá thông thường bao gồm thuế"
"REST ACL Attributes","Các thuộc tính REST ACL"
"REST Attributes","Các thuộc tính REST"
"REST - Attributes","REST - Các thuộc tính"
"Rest Roles","Các vai trò còn lại"
"REST Roles","Các vai trò REST"
"REST Roles Information","Thông tin các vai trò REST"
"REST - Roles","REST - Các vai trò"
"REST Role","Vai trò REST"
Retrieve,Nhận
"Role API Resources","Tài nguyên vai trò API"
"Role has been deleted.","Vai trò đã được xóa."
"Role Information","Thông tin vai trò"
"Role Info","Thông tin vai trò"
"Role Name","Tên vai trò"
Roles,"Các vai trò"
"Role ""%s"" no longer exists","Vai trò ""%s"" không còn tồn tại"
"Role ""%s"" not found.","Không tìm thấy vai trò ""%s""."
"Role Users","Vai trò các thành viên"
"Salability Status","Trạng thái khả năng tiêu thụ"
Sales,"Bán hàng"
Save,Lưu
"Shipped Qty","Số lượng được giao vận"
"Shipping Amount","Số tiền giao vận"
"Shipping Discount","Giảm giá giao vận"
"Shipping Including Tax","Giao vận bao gồm thuế"
"Shipping Method","Phương thức giao vận"
"Shipping Tax","Thuế giao vận"
SKU,"Mã sản phẩm"
"%s role is a special one and can\'t be changed.",@TODO
"%s role is a special one and can\'t be deleted.",@TODO
"%s role is protected.",@TODO
State,Bang
"Stock Availability","Kho hàng sẵn có"
"Stock ID","ID kho hàng"
"Stock Item","Mặt hàng trong kho"
"Stock Status","Trạng thái kho hàng"
%s,@TODO
"Store Currency to Order Currency Rate","Tiền thuê kho bãi ảnh hưởng đến tỷ giá tiền đặt hàng"
"Store Name","Tên kho hàng"
Street,Đường
"Subtotal Including Tax","Tổng số phụ bao gồm thuế"
Subtotal,"Tổng số phụ"
System,"Hệ thống"
"Tax Amount","Số tiền thuế"
"Tax Name","Tên thuế"
"Tax Percent","Phần trăm thuế"
"Tax Rate","Tỷ giá thuế"
"The attribute rules were saved.","Các quy tắc thuộc tính đã được lưu."
"The ""enable_qty_increments"" field must be set to 0 or 1.","Trường ""enable_qty_increments"" phải được thiết lập 0 hoặc 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Trường ""is_decimal_divided"" phải được thiết lập 0 hoặc 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Trường ""is_in_stock"" phải được thiết lập 0 hoặc 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Trường ""is_qty_decimal"" phải được thiết lập 0, 1, hoặc 2."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Trường ""is_qty_decimal"" phải được thiết lập 0 hoặc 1."
"The ""manage_stock"" field must be set to 0 or 1.","Trường ""manage_stock"" phải được thiết lập 0 hoặc 1."
"The role has been saved.","Vai trò đã được lưu."
"The role is a special one and not for assigning it to admin users.","Đây là vai trò đặc biệt và không gán cho các thành viên quản trị."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Trường ""stock_status_changed_auto"" phải được thiết lập 0 hoặc 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Trường ""use_config_backorders"" phải được thiết lập 0 hoặc 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Trường ""use_config_enable_qty_inc"" phải được thiết lập 0 hoặc 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Trường ""use_config_manage_stock"" phải được thiết lập 0 hoặc 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Trường ""use_config_max_sale_qty"" phải được thiết lập 0 hoặc 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Trường ""use_config_min_qty"" phải được thiết lập 0 hoặc 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Trường ""use_config_min_sale_qty"" phải được thiết lập 0 hoặc 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Trường ""use_config_notify_stock_qty"" phải được thiết lập 0 hoặc 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Trường ""use_config_qty_increments"" phải được thiết lập 0 hoặc 1."
"Total Due","Tổng số nợ"
"Total Paid","Tổng số thanh toán"
"Total Refunded","Tổng số tiền hoàn lại"
"Total Reviews Count","Tổng số nhận xét"
Type,Loại
Update,"Cập nhật"
URL,"@FIXME: URL"
"Use Config Settings for Allow Gift Message","Sử dụng các thiết lập tùy chỉnh cho tin nhắn quà tặng cho phép"
"Use Config Settings for Allow Gift Wrapping","Sử dụng các thiết lập tùy chỉnh cho gói quà tặng cho phép"
"Use Config Settings for Backorders","Sử dụng các thiết lập tùy chỉnh cho các đơn hàng tồn đọng"
"Use Config Settings for Enable Qty Increments","Sử dụng các thiết lập tùy chỉnh cho kích hoạt tính năng tăng số lượng"
"Use Config Settings for Manage Stock","Sử dụng các thiết lập tùy chỉnh cho quản lý kho hàng"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Sử dụng các thiết lập tùy chỉnh cho số lượng tối đa cho phép trong giỏ hàng"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Sử dụng các thiết lập tùy chỉnh cho số lượng tối thiểu cho phép trong giỏ hàng"
"Use Config Settings for Notify for Quantity Below","Sử dụng các thiết lập tùy chỉnh cho thông báo số lượng dưới đây"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Sử dụng các thiết lập tùy chỉnh cho số lượng cho các mặt hàng để có trạng thái hết hàng"
"Use Config Settings for Qty Increments","Sử dụng các thiết lập tùy chỉnh cho tính năng tăng số lượng"
"User Type","Loại thành viên"
"User type ""%s"" no longer exists","Loại thành viên ""%s"" không còn tồn tại"
"User type ""%s"" not found.","Không tìm thấy loại thành viên ""%s""."
"Web services","Các dịch vụ Web"
"Web Services","Các dịch vụ Web"
Write,Viết
"ZIP/Postal Code","Mã bưu điện"
