"About the calendar","@FIXME: Về lịch"
Footer,"@FIXME: Footer"
"Forgot Password Email Sender","Quên mật khẩu email sender"
"Forgot Password Email Template","Quên mật khẩu Email Template"
"For latest version visit: %s","@FIXME: Đối với phiên bản mới nhất của chuyến thăm:% s"
General,Chung
"General Contact Email","@FIXME: Tổng Hợp Liên hệ Email"
"General Contact","@FIXME: Tổng Hợp Liên hệ"
"General contact","Liên hệ chung"
"General Contact Name","@FIXME: Tổng Hợp Liên hệ Tên"
"General Settings","Cài đặt chung"
"Get info about current Magento installation","@FIXME: Nhận thông tin về cài đặt Magento hiện tại"
Global,"@FIXME: chung"
Go,"@FIXME: đi"
"Go Today","@FIXME: Hôm nay đi"
Header,"@FIXME: cú đội đầu"
"Hệ thống","@FIXME: system"
"- Hold mouse button on any of the above buttons for faster selection.","@FIXME: - Giữ nút chuột trên bất kỳ nút ở trên để lựa chọn nhanh hơn."
Host,"@FIXME: chủ nhà"
"How many links to display at once.","@FIXME: Làm thế nào nhiều liên kết để hiển thị cùng một lúc."
"HTML Head","@FIXME: HTML Head"
"HTML tags are not allowed","@FIXME: Thẻ HTML không được phép"
"Id path for specified store","@FIXME: Con đường Id cho các cửa hàng quy định"
"ID Path for Specified Store","@FIXME: ID Đường dẫn cho cửa hàng Specified"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","@FIXME: Nếu vị trí khung hình hiện tại không bao gồm trang trọng, sẽ làm cho liên kết đến vị trí hiện tại cộng / trừ giá trị này."
"Incorrect credit card expiration date.","@FIXME: Không chính xác thẻ tín dụng ngày hết hạn."
"Incorrect credit card expiration date","Sai ngày hết hạn của thẻ tín dụng"
"Input type ""%value%"" not found in the input types list.","@FIXME: Loại đầu vào""giá trị % %""không tìm thấy trong danh sách các loại đầu vào."
"Invalid base url type","Loại đường đã cơ bản không chính xác"
"Invalid block name to set child %s: %s","@FIXME: Tên khối không hợp lệ để thiết lập con % s:% s"
"Invalid block: %s","Khối không chính xác: %s"
"Invalid block type: %s","Loại khối không chính xác: %s"
"Invalid connection","@FIXME: kết nối không hợp lệ"
"Invalid date","@FIXME: ngày không hợp lệ"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","@FIXME: Lập luận cập nhật bố trí không hợp lệ, dự kiến ​​Mage_Core_Model_Layout_Element"
"Invalid layout update handle","@FIXME: Bố trí không hợp lệ cập nhật xử lý"
"Invalid messages storage ""%s"" for layout messages initialization","@FIXME: Thư không hợp lệ lưu trữ""% s""cho các tin nhắn bố trí khởi tạo"
"Invalid query","@FIXME: truy vấn không hợp lệ"
"Invalid transactional email code: ","@FIXME: Mã email giao dịch không hợp lệ:"
"Invalid transactional email code: %s","@FIXME: Mã email giao dịch không hợp lệ: % s"
"Invalid URL '%value%'.","@FIXME: Không hợp lệ% giá trị % URL."
"Invalid websites configuration path: %s","Sai cấu hình đường dẫn cho websites: %s"
"Invalid website\'s configuration path: %s",@TODO
"JavaScript Settings","@FIXME: Cài đặt JavaScript"
Layout,"@FIXME: Giao diện"
Layouts,"@FIXME: Layouts"
"Leave empty for access from any location","Để trống để truy xuất từ bất kỳ địa điểm nào"
"Leave empty for access from any location.","@FIXME: Để trống để truy cập từ bất kỳ vị trí."
"List of stores","@FIXME: Danh sách cửa hàng"
"Locale Options","@FIXME: Tùy chọn locale"
"Locale options","Tùy chọn vùng lãnh thổ"
Locale,"Vùng lãnh thổ"
"                                location until the synchronization process is complete.""","@FIXME: vị trí cho đến khi quá trình đồng bộ hoàn tất."""
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","@FIXME: Đăng nhập từ Mage:: logException ().  Tập tin nằm trong? {{ Base_dir }} / var / log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","@FIXME: Đăng nhập từ Mage:: logException ().  Tập tin nằm trong {{ base_dir }} / var / log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","@FIXME: Đăng nhập từ Mage:: log ().  Tập tin nằm trong {{ base_dir }} / var / log"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","@FIXME: Đăng nhập từ Mage:: log ().  Tập tin nằm trong? {{ Base_dir }} / var / log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","@FIXME: Đăng nhập từ Mage:: log ().  Tập tin nằm trong {{ base_dir }} / var / log"
"Login is Case Sensitive","@FIXME: Đăng nhập là trường hợp nhạy cảm"
"Logo Image Alt","@FIXME: Logo Image Alt"
"Logo Image","@FIXME: Logo Image"
"Logo Image Src","@FIXME: Logo Image Src"
"Log Settings","Cấu hình log"
"Magento info API","@FIXME: Magento thông tin API"
"Magento info","@FIXME: thông tin Magento"
"Mail Sending Settings","@FIXME: Thư Gửi Cài đặt"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","@FIXME: Hãy chắc chắn rằng URL cơ sở kết thúc bằng / ( dấu gạch chéo ), ví dụ  http: // yourdomain / magento /"
"Manage Stores","Quản lý Stores"
"Match expressions in the same order as displayed in the configuration.","@FIXME: Phù hợp với các biểu thức trong cùng một thứ tự như được hiển thị trong cấu hình."
"Media Storage","@FIXME: phương tiện truyền thông lưu trữ"
"Merge CSS Files","@FIXME: Kết hợp các tập tin CSS"
"Merge JavaScript Files","@FIXME: Kết hợp các tập tin JavaScript"
"Miscellaneous HTML","@FIXME: HTML linh tinh"
"Miscellaneous scripts","@FIXME: kịch bản linh tinh"
"Miscellaneous Scripts","@FIXME: Scripts linh tinh"
"Model class does not exist: %s","@FIXME: Mô hình lớp học không tồn tại: % s"
"Model collection resource name is not defined","@FIXME: Mô hình tên tài nguyên bộ sưu tập không được định nghĩa"
"Model collection resource name is not defined.","@FIXME: Tên tài nguyên bộ sưu tập mô hình không được định nghĩa."
"Module ""%1$s"" can not be depended from ""%2$s""","@FIXME: Module""% 1 $ s""không thể phụ thuộc từ""% 2 $ s"""
"Module ""%1$s"" cannot depend on ""%2$s"".","@FIXME: Module""% 1 $ s""không thể phụ thuộc vào""% 2 $ s""."
"Module ""%1$s"" requires module ""%2$s"".","@FIXME: Module""% 1 $ s""yêu cầu module""% 2 $ s""."
"Module ""%1$s"" requires module ""%2$s""","@FIXME: Module""% 1 $ s""yêu cầu module""% 2 $ s"""
Name,Tên
"New Design Change","Thiết kế thay đổi mới"
"New Store","Store mới"
"New Store View","Store View mới"
"New Website","Website mới"
"Next month (hold for menu)","@FIXME: Tháng tiếp theo (giữ cho menu)"
"Next year (hold for menu)","@FIXME: Năm tiếp theo (giữ cho menu)"
No,"@FIXME: không"
"Offloader header","@FIXME: Offloader tiêu đề"
"- or click and drag for faster selection.","@FIXME: - Hoặc nhấn chuột và kéo để lựa chọn nhanh hơn."
Package,Gói
Pagination,"@FIXME: sự đánh số trang"
"Pagination Frame","@FIXME: pagination Khung"
"Pagination Frame Skip","@FIXME: Pagination Khung Bỏ qua"
"Parent directory does not exist: %s","@FIXME: Thư mục cha không tồn tại: % s"
"Path ""%value%"" is not available and cannot be used.","@FIXME: Path""giá trị % %""là không có sẵn và không thể được sử dụng."
"Path ""%value%"" is protected and cannot be used.","@FIXME: Path""giá trị % %""được bảo vệ và không thể được sử dụng."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","@FIXME: Path""giá trị % %""có thể không bao gồm thư mục cha traversal (""../"","".. \\ )."""
"PHP SOAP extension is required.","@FIXME: Mở rộng SOAP PHP là bắt buộc."
"Please choose to register or to checkout as a guest","Vui lòng chọn thanh toán là người dùng đăng ký hoặc là Khách"
"Please define flag code.","Vui lòng định nghĩa mã flag."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Vui lòng điền 6 ký tự trở lên. Ký tự trắng ở đầu hoặc các dấu cách sẽ được bỏ qua."
"Please enter 6 or more characters.","Vui lòng điền 6 ký tự trở lên."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","@FIXME: Vui lòng nhập từ 7 ký tự.  Mật khẩu phải chứa các ký tự cả số và chữ cái."
"Please enter a number 0 or greater in this field.","@FIXME: Xin vui lòng nhập một số 0 hoặc cao hơn trong lĩnh vực này."
"Please enter a number 1 or greater in this field.","@FIXME: Xin vui lòng nhập một số lượng 1 hoặc cao hơn trong lĩnh vực này."
"Please enter a number greater than 0 in this field.","Vui lòng điền số lớn hơn 0 trong trường này."
"Please enter a number lower than 100.","@FIXME: Xin vui lòng nhập một số thấp hơn 100."
"Please enter a valid $ amount. For example $100.00.","Vui lòng điền số lượng $ chính xác. Ví dụ $100.00."
"Please enter a valid credit card number.","Vui lòng điền số thẻ tín dụng chính xác."
"Please enter a valid credit card verification number.","@FIXME: Xin vui lòng nhập một số xác minh thẻ tín dụng hợp lệ."
"Please enter a valid date between %s and %s","@FIXME: Vui lòng nhập một ngày hợp lệ giữa % s và % s"
"Please enter a valid date equal to or greater than %s","@FIXME: Vui lòng nhập một ngày hợp lệ bằng hoặc lớn hơn % s"
"Please enter a valid date less than or equal to %s","@FIXME: Vui lòng nhập một ngày hợp lệ ít hơn hoặc bằng % s"
"Please enter a valid date.","Vui lòng điền ngày chính xác."
"Please enter a valid day (1-%d).","@FIXME: Vui lòng nhập một ngày hợp lệ ( 1 % d)."
"Please enter a valid email address. For example johndoe@domain.com.","Vui lòng điền email chính xác. Ví dụ sales@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","@FIXME: Xin vui lòng nhập một số fax hợp lệ.  Ví dụ (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid full date","@FIXME: Vui lòng nhập một ngày đầy đủ hợp lệ"
"Please enter a valid month (1-12).","@FIXME: Vui lòng nhập một tháng hợp lệ ( 1-12)."
"Please enter a valid number in this field.","Vui lòng điền số chính xác trong trường này."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vui lòng điền số điện thoại chính xác. Ví dụ (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","@FIXME: Xin vui lòng nhập một số an sinh xã hội có hiệu lực.  Ví dụ 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vui lòng điền URL chính xác. Ví dụ http://www.example.com hoặc www.example.com"
"Please enter a valid URL. http:// is required","Vui lòng điền URL chính xác. bắt buộc có http://"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","@FIXME: Vui lòng nhập một khóa URL hợp lệ.  Ví dụ""Ví dụ trang"",""ví dụ - page.html""hoặc""anotherlevel / example -page""."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","@FIXME: Vui lòng nhập một URL hợp lệ.  Nghị định thư được yêu cầu ( http: //, https: // hay ftp: // )"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","@FIXME: Vui lòng nhập một XML - định danh hợp lệ.  Ví dụ something_1, block5, id -4."
"Please enter a valid year (1900-%d).","@FIXME: Vui lòng nhập một năm hợp lệ ( 1900- % d)."
"Please enter a valid zip code.","@FIXME: Vui lòng nhập mã zip hợp lệ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","@FIXME: Vui lòng nhập mã zip hợp lệ.  Ví dụ 90.602 hoặc 90.602-1234."
"Please enter issue number or start date for switch/solo card type.","@FIXME: Vui lòng nhập số phát hành hoặc ngày cho loại thẻ chuyển đổi / solo bắt đầu."
"Please enter valid password.","Vui lòng nhập mật khẩu chính xác."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","@FIXME: Xin vui lòng nhập vào một CSS - chiều dài hợp lệ.  Ví dụ 100px hoặc 77pt hoặc 20em hoặc.5ex hoặc 50%."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Bạn nên chắc chắc đường dẫn cơ bản (Base URL) kết thúc với '/' , VD. http://yourdomain/magento/"
"Please make sure your passwords match.","Vui lòng kiểm tra mật khẩu khớp."
"Please select a file","@FIXME: Hãy chọn một tệp"
"Please select an option.","Vui lòng lựa chọn một tùy chọn."
"-- Please Select --","-- Hãy lựa chọn --"
"Please select one of the above options.","Vui lòng lựa chọn một trong những tùy chọn trên đây."
"Please select one of the options.","Vui lòng lựa chọn một trong những lựa chọn."
"Please select State/Province.","Vui lòng lựa chọn State/Province."
"Please set available and/or protected paths list(s) before validation.","@FIXME: Hãy thiết lập danh sách đường dẫn có sẵn và / hoặc bảo vệ (s) trước khi xác nhận."
"Please specify either a category or a product, or both.","@FIXME: Hãy xác định hoặc là một thể loại hoặc một sản phẩm, hoặc cả hai."
"Please specify payment method.","Vui lòng lựa chọn hình thức thanh toán."
"Please specify shipping method.","Vui lòng lựa chọn hình thức vận chuyển."
"Please use letters only (a-z) in this field.","Vui lòng chỉ sử dụng các ký tự (a-z) trong trường này."
"Please use letters only (a-z or A-Z) in this field.","Vui lòng chỉ sử dụng các ký tự (a-z hoặc A-Z) trong trường này."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","@FIXME: Vui lòng sử dụng số điện thoại chỉ trong lĩnh vực này.  Xin vui lòng tránh không gian hoặc các ký tự khác như dấu chấm hay phẩy."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Vui lòng chỉ sử dụng số trong trường này. Vui lòng không sử dụng khoảng trắng (cách) và các ký tự khác như chấm hoặc phẩy."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Vui lòng chỉ sử dụng ký tự (a-z), số (0-9) hoặc gạch dưới(_) trong trường này, Ký tự đầu tiên phải là chữ."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","@FIXME: Xin vui lòng chỉ sử dụng chữ cái ( az hoặc AZ), số (0-9 ) hoặc gạch dưới (_) trong lĩnh vực này, nhân vật đầu tiên phải là một chữ."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","@FIXME: Xin vui lòng chỉ sử dụng chữ cái ( az hoặc AZ) hoặc số (0-9) chỉ trong lĩnh vực này.  Không có dấu cách hoặc ký tự khác được cho phép."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","@FIXME: Xin vui lòng chỉ sử dụng chữ cái ( az hoặc AZ) hoặc số (0-9) hoặc không gian và # chỉ trong lĩnh vực này."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Vui lòng chỉ sử dụng các ký tự (a-z) hoặc số (0-9) trong trường này. Không được phép sử dụng các khoảng trắng (cách) hoặc các ký tự khác."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Vui lòng chỉ sử dụng ký tự (a-z) hoặc số (0-9) hoặc cách và # trong trường này."
"Please use only visible characters and spaces.","@FIXME: Vui lòng sử dụng các ký tự nhìn thấy và không gian."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vui lòng sử dụng định dạng ngày: dd/mm/yyyy. VD 17/03/2006 cho ngày 17 tháng 3 năm 2006."
"Please wait, loading...","Vui lòng đợi, đang tải..."
Polls,"Các bình chọn"
"Port (25)","Cổng (25)"
Profiler,"@FIXME: Profiler"
"Prototype Deprecation Log","@FIXME: Prototype deprecation Đăng nhập"
"Recovery Link Expiration Period (days)","@FIXME: Thời gian phục hồi liên kết hết hạn ( ngày)"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","@FIXME: Tập tin yêu cầu có thể không bao gồm thư mục cha traversal (""../"","".. \\ ký hiệu )"""
"Requested invalid store ""%s""","Store được yêu cầu không chính xác ""%s"""
"Request path for specified store","Đường dẫn bắt buộc cho store đã chỉ định"
"Request Path for Specified Store","@FIXME: Yêu cầu đường dẫn cho cửa hàng Specified"
"Request path length exceeds allowed %s symbols.","@FIXME: Chiều dài đường vượt quá yêu cầu cho phép các ký hiệu % s."
"Resource is not set.","@FIXME: Tài nguyên không được thiết lập."
"Resource is not set","Nguồn (Resource) chưa được thiết lập"
"Retrieve info about current Magento installation","@FIXME: Lấy các thông tin cài đặt Magento hiện tại"
"Retrieve store data","@FIXME: Lấy lưu trữ dữ liệu"
"Retrieve store list","@FIXME: Lấy danh sách cửa hàng"
"Return-Path Email","@FIXME: Return -Path Email"
"Root Category","Danh mục gốc"
"Sales Representative Contact Email","@FIXME: Đại diện bán hàng Liên hệ Email"
"Sales Representative Contact Name","@FIXME: Liên hệ với đại diện bán hàng Tên"
"Sales representative","Đại diện bán hàng"
"Sales Representative","@FIXME: Đại diện bán hàng"
"%s already exist.","@FIXME: % s đã tồn tại."
"%s already exist","%s đã tồn tại"
"%s already exists.","@FIXME: % s đã tồn tại."
"%s already exists","%s đã tồn tại"
Save,Lưu
"Save Store","Lưu Store"
"Save Store View","Lưu Store View"
"Save Website","Lưu Website"
"Search Engines Optimization","Tối ưu hóa công cụ tìm kiếm"
"Search entire store here...","@FIXME: Tìm kiếm toàn bộ cửa hàng ở đây..."
Search,"@FIXME: tìm kiếm"
Secure,"Bảo mật"
Security,"@FIXME: an ninh"
"Select Date","Chọn ngày"
"Select date","@FIXME: Chọn ngày"
"Select Media Database","@FIXME: Chọn Media Cơ sở dữ liệu"
"Sender email","@FIXME: Tên người gửi email"
"Sender Email","@FIXME: Tên người gửi Email"
"Sender name","@FIXME: tên người gửi"
"Sender Name","@FIXME: Tên người gửi"
Services,"Các dịch vụ"
"Session Cookie Management","@FIXME: Quản lý Session Cookie"
"Session Cookie management","Quản lý Session Cookie."
"Session Lifetime (seconds)","@FIXME: Phiên Lifetime (giây)"
"Session Lifetime, Seconds","@FIXME: Phiên Lifetime, Giây"
"Session Validation Settings","Thiết lập hiệu lực Session."
"Set as default","Đặt là mặc định"
"Set as Default","@FIXME: Set as Default"
"Set Return-Path","@FIXME: Đặt Return -Path"
